timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,flags,protocol_enc,anomaly,risk_score,suspicious_port,alert,severity
2026-05-29 05:33:12,192.168.29.1,192.168.29.53,UDP,53,59350,108,,3,1,44.48,False,False,NORMAL
2026-05-29 05:33:12,192.168.29.53,192.168.29.1,UDP,57413,53,92,,3,1,43.26,False,False,NORMAL
2026-05-29 05:33:12,192.168.29.53,192.168.29.1,UDP,57413,53,92,,3,1,43.26,False,False,NORMAL
2026-05-29 05:33:12,192.168.29.1,192.168.29.53,UDP,53,57413,108,,3,1,44.39,False,False,NORMAL
2026-05-29 05:33:12,192.168.29.1,192.168.29.53,UDP,53,57413,120,,3,1,44.5,False,False,NORMAL
2026-05-29 05:33:14,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:33:15,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:33:26,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:33:26,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:33:27,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:33:30,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:33:31,34.117.95.95,192.168.29.53,TCP,443,36506,101,PA,2,1,43.31,False,False,NORMAL
2026-05-29 05:33:31,192.168.29.53,34.117.95.95,TCP,36506,443,66,A,2,1,43.42,False,False,NORMAL
2026-05-29 05:37:03,34.117.95.95,192.168.29.53,TCP,443,36506,101,PA,2,1,43.31,False,False,NORMAL
2026-05-29 05:37:03,192.168.29.53,34.117.95.95,TCP,36506,443,66,A,2,1,43.42,False,False,NORMAL
2026-05-29 05:37:05,192.168.29.1,192.168.29.53,UDP,57346,7,60,,3,-1,50.26,False,True,MEDIUM
2026-05-29 05:37:05,192.168.29.53,192.168.29.1,ICMP,0,0,71,,0,1,49.1,False,False,NORMAL
2026-05-29 05:37:07,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:37:10,192.168.29.53,192.168.29.1,UDP,35282,53,92,,3,1,44.13,False,False,NORMAL
2026-05-29 05:37:10,192.168.29.53,192.168.29.1,UDP,35282,53,92,,3,1,44.13,False,False,NORMAL
2026-05-29 05:37:10,192.168.29.1,192.168.29.53,UDP,53,35282,108,,3,1,43.53,False,False,NORMAL
2026-05-29 05:37:10,192.168.29.1,192.168.29.53,UDP,53,35282,120,,3,1,44.98,False,False,NORMAL
2026-05-29 05:37:13,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:37:14,192.168.29.99,224.0.0.22,OTHER,0,0,62,,1,1,46.78,False,False,NORMAL
2026-05-29 05:37:15,192.168.29.53,192.168.29.1,UDP,37447,53,91,,3,1,43.46,False,False,NORMAL
2026-05-29 05:37:15,192.168.29.53,192.168.29.1,UDP,37447,53,91,,3,1,43.46,False,False,NORMAL
2026-05-29 05:37:15,192.168.29.53,192.168.29.1,UDP,48131,53,91,,3,1,44.25,False,False,NORMAL
2026-05-29 05:37:15,192.168.29.53,192.168.29.1,UDP,48131,53,91,,3,1,44.25,False,False,NORMAL
2026-05-29 05:37:15,192.168.29.1,192.168.29.53,UDP,53,37447,107,,3,1,42.64,False,False,NORMAL
2026-05-29 05:37:15,192.168.29.1,192.168.29.53,UDP,53,48131,107,,3,1,43.78,False,False,NORMAL
2026-05-29 05:37:15,192.168.29.1,192.168.29.53,UDP,53,37447,119,,3,1,43.94,False,False,NORMAL
2026-05-29 05:37:15,192.168.29.1,192.168.29.53,UDP,53,48131,119,,3,1,44.41,False,False,NORMAL
2026-05-29 05:37:27,192.168.29.1,224.0.0.1,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:37:27,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:37:28,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
2026-05-29 05:37:34,34.117.95.95,192.168.29.53,TCP,443,36506,101,PA,2,1,43.31,False,False,NORMAL
2026-05-29 05:37:34,192.168.29.53,34.117.95.95,TCP,36506,443,66,A,2,1,43.42,False,False,NORMAL
2026-05-29 05:37:34,192.168.29.99,224.0.0.22,OTHER,0,0,60,,1,1,36.42,False,False,NORMAL
